date,construction,manufacturing,retail_trade,total_nonfarm,transportation_warehousing,year,month,manufacturing_yoy_pct,retail_trade_yoy_pct,transportation_warehousing_yoy_pct,construction_yoy_pct,total_nonfarm_yoy_pct
2006-11-01,7666.0,14034.0,15374.0,137060.0,4496.1,2006,11,-1.0575296108291,0.31581145273267275,2.49857517382881,1.8872939925571597,1.528182107750542
2006-12-01,7685.0,14009.0,15375.3,137249.0,4516.5,2006,12,-1.268588343082666,0.28764871634312517,2.8510919317741745,2.0177883977167133,1.5463269186661632
2007-01-01,7725.0,14004.0,15411.5,137472.0,4518.0,2007,1,-1.4358108108108114,0.6044820450554544,2.4977880623426207,1.631364294171811,1.5100386185915582
2007-02-01,7626.0,13993.0,15440.3,137560.0,4519.1,2007,2,-1.5132319819819773,0.7484209427363275,2.286050564722397,-0.4958246346555284,1.346024916564148
2007-03-01,7706.0,13964.0,15498.8,137784.0,4522.5,2007,3,-1.7311752287121784,0.9575424380202868,2.3699578975960867,0.22109507088048375,1.2834649142151378
2007-04-01,7686.0,13939.0,15477.4,137847.0,4525.0,2007,4,-1.996765801870215,1.0472024547887981,2.0684366047865055,-0.5177323323841576,1.2018207180089613
2007-05-01,7673.0,13922.0,15494.4,137992.0,4526.4,2007,5,-1.9577464788732346,1.3659915214319307,1.8129470511493828,-0.5186049526772929,1.2792754442234378
2007-06-01,7687.0,13903.0,15478.7,138070.0,4524.9,2007,6,-2.1604503870513714,1.1851687214820883,1.6534495540628358,-0.1558643979737595,1.2711149577884218
2007-07-01,7660.0,13881.0,15483.2,138044.0,4527.9,2007,7,-2.143108917870995,1.2046617730686604,1.3928387486844107,-0.6742738589211594,1.1096543591471386
2007-08-01,7610.0,13821.0,15484.0,138013.0,4524.0,2007,8,-2.3526918185671875,1.1920322057823896,1.314581327122477,-1.4248704663212486,0.9664062271383944
2007-09-01,7577.0,13784.0,15492.7,138099.0,4546.0,2007,9,-2.3796033994334276,1.2277194082902287,1.5979439043468435,-1.8268981601451184,0.9303787291889076
2007-10-01,7565.0,13756.0,15485.8,138175.0,4541.4,2007,10,-2.2177992607335772,0.9596703740888834,1.2801070472792109,-1.5230408747721969,0.9733782509883548
2007-11-01,7523.0,13751.0,15549.8,138290.0,4538.6,2007,11,-2.016531281174294,1.1434890074151216,0.9452636729610164,-1.8653795982259358,0.89741718955203
2007-12-01,7490.0,13739.0,15544.7,138395.0,4536.0,2007,12,-1.9273324291526839,1.1017671199911705,0.431750249086682,-2.5374105400130076,0.8349787612295989
2008-01-01,7476.0,13717.0,15525.5,138391.0,4537.8,2008,1,-2.0494144530134206,0.7397073613859773,0.4382470119521864,-3.223300970873788,0.6684997672253168
2008-02-01,7453.0,13690.0,15490.6,138329.0,4541.6,2008,2,-2.165368398484957,0.32577087232761315,0.4978867473611981,-2.268554943613954,0.5590287874382094
2008-03-01,7406.0,13650.0,15479.9,138259.0,4542.4,2008,3,-2.2486393583500464,-0.12194492476836905,0.4400221116638958,-3.8930703348040496,0.3447424955002054
